external_row,section,term,definition,external_verdict,original_axiom,corrected_axiom,external_notes,match_kind,coms_subject,coms_sheet,coms_row,coms_row_id,coms_status,coms_predicate,coms_target,coms_reasoning,preliminary_disposition,validated_disposition,validated_basis
68,Common OPs,sosa:isResultOfUsedProcedure,relation from a Sample or SampleCollection to the Procedure (plan) used to make it,OK as-is,sosa:isResultOfUsedProcedure owl:inverseOf sosa:usedForExecutionHasResult .,sosa:isResultOfUsedProcedure owl:inverseOf sosa:usedForExecutionHasResult .,sosa:isResultOfUsedProcedure is the inverse of sosa:usedForExecutionHasResult.,exact,sosa:isResultOfUsedProcedure,Sheet2,52,urn:uuid:32e5650f-da54-4941-a2ef-05d24c1ef00a,explicitly_unmapped,,,,candidate for mapping analysis,,
69,Common OPs,sosa:isSampleOf,relation from a Sample or SampleCollection to the FeatureOfInterest that it is intended to represent,OK as-is,sosa:isSampleOf owl:inverseOf sosa:hasSample .,sosa:isSampleOf owl:inverseOf sosa:hasSample .,sosa:isSampleOf is the inverse of sosa:hasSample.,exact,sosa:isSampleOf,Sheet2,53,urn:uuid:12ccae61-a7e8-46ad-92f5-f8c703388176,explicitly_unmapped,,,,review as SOSA-next relation; do not transfer the current-SOSA simplicity rationale,,
70,Common OPs,sosa:isSampleOfUltimateFOI,"relation from a Sample or SampleCollection to the ultimate FeatureOfInterest that it is intended to be representative of; i.e., the end of a chain of isSampleOf relations",Semantic redesign,sosa:isSampleOfUltimateFOI owl:inverseOf sosa:featureHasUltimateSample .,"sosa:isSampleOfUltimateFOI a owl:ObjectProperty ; rdfs:domain sosa:Sample ; rdfs:range sosa:FeatureOfInterest ; rdfs:comment ""Declared with its native domain/range; no BFO/CCO output super (see sosa:featureHasUltimateSample).""@en .",sosa:isSampleOfUltimateFOI is defined as the inverse of sosa:featureHasUltimateSample.,exact,sosa:isSampleOfUltimateFOI,Sheet2,54,urn:uuid:45f09d66-c0e2-43e3-909a-96b38e1116fc,explicitly_unmapped,,,,substantive reconciliation required,,
71,Common OPs,sosa:isSubSystemOf,relation from a component System to a System that it belongs to,OK as-is,sosa:isSubSystemOf owl:inverseOf sosa:hasSubSystem .,sosa:isSubSystemOf owl:inverseOf sosa:hasSubSystem .,sosa:isSubSystemOf is the inverse of sosa:hasSubSystem.,exact,sosa:isSubSystemOf,Sheet2,55,urn:uuid:f813618d-5482-41c0-bc77-24a9ee34e2c8,explicitly_unmapped,,,,candidate for mapping analysis,,
72,Common OPs,sosa:isUltimateFeatureOfInterestOf,"relation from an ultimate FeatureOfInterest to an Execution, Execution Collection, or Deployment, for which it is the ultimate subject",Semantic redesign,sosa:isUltimateFeatureOfInterestOf owl:inverseOf sosa:hasUltimateFeatureOfInterest .,sosa:isUltimateFeatureOfInterestOf a owl:ObjectProperty ; owl:inverseOf sosa:hasUltimateFeatureOfInterest ; rdfs:domain sosa:FeatureOfInterest ; rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection sosa:Deployment ) ] .,sosa:isUltimateFeatureOfInterestOf is the inverse of sosa:hasUltimateFeatureOfInterest.,exact,sosa:isUltimateFeatureOfInterestOf,Sheet2,56,urn:uuid:fb9c0a9e-d7bf-4fa5-97fe-3fe71ba5beaa,explicitly_unmapped,,,,substantive reconciliation required,,
73,Common OPs,sosa:madeActuation,relation from an Actuator to an Actuation or ActuationCollection it has made,OK as-is,"sosa:madeActuation rdfs:domain sosa:Actuator .
sosa:madeActuation rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Actuation sosa:ActuationCollection ) ] .
sosa:madeActuation rdfs:subPropertyOf cco:agent_in .","sosa:madeActuation rdfs:domain sosa:Actuator .
sosa:madeActuation rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Actuation sosa:ActuationCollection ) ] .
sosa:madeActuation rdfs:subPropertyOf cco:ont00001787 .","sosa:madeActuation maps to cco:agent_in because the relation runs from the actuator (the agent) to the actuation (the process); cco:agent_in is the agent→process direction. The inverse direction, process→agent, is cco:has_agent and is captured by sosa:madeByActuator. The domain and range constraints make the relation more specific than the general cco:agent_in.",exact,sosa:madeActuation,Sheet2,57,urn:uuid:a3bead3c-ca9a-42f8-bda5-176574fd71d0,active,rdfs:subPropertyOf,cco:agent_in,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
74,Common OPs,sosa:madeByActuator,relation from an Actuation or ActuationCollection to the Actuator that made it,OK as-is,sosa:madeByActuator owl:inverseOf sosa:madeActuation .,sosa:madeByActuator owl:inverseOf sosa:madeActuation .,sosa:madeByActuator is the inverse of sosa:madeActuation.,exact,sosa:madeByActuator,Sheet2,58,urn:uuid:a83c6ba4-b0c0-43c5-9018-076120ab77e6,active,rdfs:subPropertyOf,cco:has_agent,,verify existing active mapping against external correction,retain,The SOSA domain and range agree with cco:has_agent: an Actuation or ActuationCollection process has an Actuator as its agent.
75,Common OPs,sosa:madeBySampler,relation from an act of Sampling to the Sampler that made it,Semantic redesign,"sosa:madeBySampler rdfs:domain sosa:Sampling .
sosa:madeBySampler rdfs:range sosa:Sampler .
sosa:madeBySampler rdfs:subPropertyOf cco:has_agent .","sosa:madeBySampler a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Sampling sosa:SamplingCollection ) ] ; rdfs:range sosa:Sampler ; rdfs:subPropertyOf cco:ont00001833 ; rdfs:comment ""Domain widened to include SamplingCollection (native schema:domainIncludes). Maps to CCO has_agent.""@en .",sosa:madeBySampler maps to cco:has_agent because samplers are agents in sampling processes.,exact,sosa:madeBySampler,Sheet2,59,urn:uuid:45ab5b89-b48b-4472-b37a-e7a40271b340,active,rdfs:subPropertyOf,cco:has_agent,,substantive reconciliation required,,
76,Common OPs,sosa:madeBySensor,relation from an Observation or ObservationCollection to the Sensor involved,Semantic redesign,"sosa:madeBySensor rdfs:domain sosa:Observation .
sosa:madeBySensor rdfs:range sosa:Sensor .
sosa:madeBySensor rdfs:subPropertyOf cco:has_agent .","sosa:madeBySensor a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] ; rdfs:range sosa:Sensor ; rdfs:subPropertyOf cco:ont00001833 ; rdfs:comment ""Domain widened to include ObservationCollection (native schema:domainIncludes). Maps to CCO has_agent (process to Agent).""@en .",sosa:madeBySensor maps to cco:has_agent because sensors function as agents in observation processes.,exact,sosa:madeBySensor,Sheet2,60,urn:uuid:1db47c58-82e4-45ed-8c75-1daebdf9616b,active,rdfs:subPropertyOf,cco:has_agent,,substantive reconciliation required,,
77,Common OPs,sosa:madeBySystem,relation from an Execution to the System that made it,Semantic redesign,"sosa:madeBySystem rdfs:domain sosa:Execution .
sosa:madeBySystem rdfs:range sosa:System .
sosa:madeBySystem rdfs:subPropertyOf cco:has_agent .","sosa:madeBySystem a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Actuation sosa:ActuationCollection sosa:Observation sosa:ObservationCollection sosa:Sampling sosa:SamplingCollection sosa:Execution sosa:ExecutionCollection ) ] ; rdfs:range sosa:System ; rdfs:subPropertyOf cco:ont00001833 ; rdfs:comment ""Domain widened to the full execution family (native schema:domainIncludes). Maps to CCO has_agent.""@en .","sosa:madeBySystem maps to cco:has_agent because systems function as agents in execution processes. This is the most general of the made-by relations, covering all sosa:Execution types.",exact,sosa:madeBySystem,Sheet2,61,urn:uuid:5f0b98b4-739e-45fa-b756-01f8e1a06566,active,rdfs:subPropertyOf,cco:has_agent,,substantive reconciliation required,,
78,Common OPs,sosa:madeExecution,relation from a System to an Execution or ExecutionCollection that it has made,OK as-is,sosa:madeExecution owl:inverseOf sosa:madeBySystem .,sosa:madeExecution owl:inverseOf sosa:madeBySystem .,sosa:madeExecution is the inverse of sosa:madeBySystem.,exact,sosa:madeExecution,Sheet2,62,urn:uuid:2a839a3f-02f3-47d8-8482-6960cf88625d,explicitly_unmapped,,,,candidate for mapping analysis,,
79,Common OPs,sosa:madeObservation,relation from a Sensor to an Observation or ObservationCollection it has made,OK as-is,sosa:madeObservation owl:inverseOf sosa:madeBySensor .,sosa:madeObservation owl:inverseOf sosa:madeBySensor .,sosa:madeObservation is the inverse of sosa:madeBySensor.,exact,sosa:madeObservation,Sheet2,63,urn:uuid:1a74e4c4-7b3e-4538-9967-263dd3a7de90,explicitly_unmapped,,,,candidate for mapping analysis,,
80,Common OPs,sosa:madeSampling,relation from a Sampler to the Sampling or SamplingCollection it has made,OK as-is,sosa:madeSampling owl:inverseOf sosa:madeBySampler .,sosa:madeSampling owl:inverseOf sosa:madeBySampler .,sosa:madeSampling is the inverse of sosa:madeBySampler.,exact,sosa:madeSampling,Sheet2,64,urn:uuid:9a05a746-cc32-4d52-88d6-22da6833e880,explicitly_unmapped,,,,candidate for mapping analysis,,
81,Common OPs,sosa:madeSamplingHasResult,relation from a Sampler to a Sample or SampleCollection made by it,OK as-is,sosa:madeSamplingHasResult owl:propertyChainAxiom ( sosa:madeSampling sosa:hasResult ) .,sosa:madeSamplingHasResult owl:propertyChainAxiom ( sosa:madeSampling sosa:hasResult ) .,sosa:madeSamplingHasResult is defined via property chain: a sampler has this relation to a sample if it made a sampling that has that sample as its result. This shortcut property allows direct querying of sampler-to-sample relationships without traversing the intermediate sosa:Sampling node.,exact,sosa:madeSamplingHasResult,Sheet2,65,urn:uuid:e69ea37a-e4dc-43d4-b90d-fe94d76da025,explicitly_unmapped,,,,candidate for mapping analysis,,
82,Common OPs,sosa:observationRelatedTo,relation from an Observation or ObservationCollection to another Execution or ExecutionCollection,OK as-is,"sosa:observationRelatedTo rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .
sosa:observationRelatedTo rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] .","sosa:observationRelatedTo rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .
sosa:observationRelatedTo rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] .","sosa:observationRelatedTo is marked difficult because ""related"" is intentionally vague in the spec — it covers shared occurrent parts, shared procedures, or shared features of interest. No single BFO or CCO relation captures this disjunctive relatedness, and no property chain can express it without a union construction.",exact,sosa:observationRelatedTo,Sheet2,66,urn:uuid:81bb38b5-18d7-46fb-8018-158f858f80eb,explicitly_unmapped,,,,candidate for mapping analysis,,
83,Common OPs,sosa:observedProperty,relation from an Observation or ObservationCollection to the property observed,Semantic redesign,"sosa:observedProperty rdfs:domain sosa:Observation .
sosa:observedProperty rdfs:range sosa:Property .
sosa:observedProperty rdfs:subPropertyOf cco:has_input .","sosa:observedProperty a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] ; rdfs:range sosa:Property ; rdfs:comment ""Domain widened to include ObservationCollection (native schema:domainIncludes). The workbook (and the published BFO-Mappings release) put this under CCO has-input, but has-input has a continuant range, so an observation of a ProcessProfile-branch Property (a rate or pattern) would be typed Continuant and Occurrent at once and the ontology would be inconsistent on that legitimate assertion. The super is therefore not asserted; the aboutness of an observation to its target Property is carried in the RO/annotation layer.""@en .","sosa:observedProperty maps to cco:has_input because the observed property is what the observation targets — it is the subject of the act of measuring, fitting the sense of an input to the observation process.",exact,sosa:observedProperty,Sheet2,67,urn:uuid:e7ea316d-6cc8-4ad9-b9d7-a519acaaaf0c,active,rdfs:subPropertyOf,cco:has_input,,substantive reconciliation required,deactivate,"cco:has_input has a continuant range, whereas sosa:Property includes the ProcessProfile branch. The current mapping can impose continuant typing on an occurrent property."
84,Common OPs,sosa:observes,relation from a Sensor to a Property that it is capable of sensing,Semantic redesign,"sosa:observes rdfs:domain sosa:Sensor .
sosa:observes rdfs:range sosa:Property .
sosa:observes rdfs:subPropertyOf bfo:has_participant .","sosa:observes a owl:ObjectProperty ; rdfs:domain sosa:Sensor ; rdfs:range sosa:Property ; rdfs:comment ""Capability-level relation (a Sensor is capable of observing a Property). The occurrence-level participation intent is not asserted as a BFO/CCO super-property because that would type every Sensor as a process; it is carried in the RO mapping (capable-of family) and may be validated by SHACL.""@en .","sosa:observes is a capability-level relation between a sensor and a property. It maps to bfo:has_participant as a conservative upper mapping, capturing that both entities participate in observation processes, without overcommitting to a more specific relation.",exact,sosa:observes,Sheet2,68,urn:uuid:00198fc7-790c-49da-90d7-e93e42ef82cc,active,rdfs:subPropertyOf,bfo:has_participant,,substantive reconciliation required,deactivate,"The source relation has a Sensor subject, whereas bfo:has_participant has a process domain. The current subproperty axiom can therefore classify a sensor as a process."
85,Common OPs,sosa:originated,relation from a Stimulus to an Observation that was originated by it,Semantic redesign,"sosa:originated rdfs:domain sosa:Stimulus .
sosa:originated rdfs:range sosa:Observation .
sosa:originated rdfs:subPropertyOf cco:process_started_by .","sosa:originated a owl:ObjectProperty ; rdfs:domain sosa:Stimulus ; rdfs:range sosa:Observation ; rdfs:subPropertyOf cco:ont00001803 ; rdfs:comment ""Re-pointed from cco:process_started_by to cco:is_cause_of (is-cause-of): the Stimulus is the cause, so 'stimulus originated observation' means the stimulus is the cause of the observation. Under process_started_by (x is caused_by y) the causality was inverted.""@en .",sosa:originated maps to cco:process_started_by because the stimulus causally initiates the observation process — it is the causal precursor that starts the observation.,exact,sosa:originated,Sheet2,69,urn:uuid:58a6eb93-dda2-46e1-9246-7d42f20557b0,active,rdfs:subPropertyOf,cco:process_starts,,substantive reconciliation required,,
86,Common OPs,sosa:outputFor,relation from an output to a Procedure that generates it in an Execution,OK as-is,sosa:outputFor owl:inverseOf sosa:hasOutput .,sosa:outputFor owl:inverseOf sosa:hasOutput .,sosa:outputFor is the inverse of sosa:hasOutput.,exact,sosa:outputFor,Sheet2,70,urn:uuid:07d4d12f-47b6-4c04-9546-b28faf40c814,explicitly_unmapped,,,,candidate for mapping analysis,,
87,Common OPs,sosa:phenomenonOccurred,result of an Execution that this time applies to,Semantic redesign,"sosa:phenomenonOccurred rdfs:domain sosa:Execution .
sosa:phenomenonOccurred rdfs:range bfo:TemporalRegion .","sosa:phenomenonOccurred a owl:ObjectProperty ; owl:inverseOf sosa:phenomenonTime ; rdfs:domain obo:BFO_0000008 ; rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] ; rdfs:comment ""Domain/range restored to the native orientation (temporal region to execution); the workbook cells had formalized the reversed execution-to-time reading, which is phenomenonTime's role.""@en .",sosa:phenomenonOccurred is marked difficult because it relates an execution to a temporal region in which the phenomenon of interest occurred — this is a complex temporal relation not straightforwardly captured by BFO or CCO object properties.,exact,sosa:phenomenonOccurred,Sheet2,71,urn:uuid:17f2bd9e-1757-4087-88a4-9b74a805e23d,active,rdfs:range,bfo:TemporalRegion,,substantive reconciliation required,,
88,Common OPs,sosa:phenomenonTime,time that the result of an Execution applies to the subject entity,Semantic redesign,subPropertyOf owl:topDataProperty,"sosa:phenomenonTime a owl:ObjectProperty ; owl:inverseOf sosa:phenomenonOccurred ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] ; rdfs:range obo:BFO_0000008 ; rdfs:comment ""Restored to owl:ObjectProperty (native SOSA 2023 kind), replacing the cell's SubDataPropertyOf owl:topDataProperty, which typed the same IRI as both object and data property (and data properties cannot have inverses) — an OWL 2 DL typing violation. Range is the temporal region the execution's output pertains to; no BFO temporal super is asserted (that would equate it with the execution's own occupied time, false for forecast/hindcast).""@en .",sosa:phenomenonTime is a datatype property associating a literal temporal value with an execution. It is outside the BFO object property hierarchy because literals are outside the domain of discourse of the logic. subPropertyOf owl:topDataProperty is the correct ceiling for datatype properties.,exact,sosa:phenomenonTime,Sheet2,72,urn:uuid:b311531a-d29f-4e0e-89f0-1f8341334eae,explicitly_unmapped,,,,substantive reconciliation required,,
89,Common OPs,sosa:propertyFor,relation from a Property to some Procedure or System that acts on it or observes it,OK as-is,sosa:propertyFor owl:inverseOf sosa:forProperty .,sosa:propertyFor owl:inverseOf sosa:forProperty .,sosa:propertyFor is the inverse of sosa:forProperty.,exact,sosa:propertyFor,Sheet2,73,urn:uuid:f7d05446-f36a-426c-a9d5-f70f558fe795,explicitly_unmapped,,,,candidate for mapping analysis,,
90,Common OPs,sosa:qualityOf,link from a quality description to an Observation or ObservationCollection that it relates to,OK as-is,"sosa:qualityOf rdfs:domain cco:InformationContentEntity .
sosa:qualityOf rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .
sosa:qualityOf rdfs:subPropertyOf cco:is_about .","sosa:qualityOf rdfs:domain cco:ont00000958 .
sosa:qualityOf rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .
sosa:qualityOf rdfs:subPropertyOf cco:ont00001808 .",sosa:qualityOf maps to cco:is_about because the quality description is an information content entity that is about the observation or observation collection whose output quality it characterizes.,exact,sosa:qualityOf,Sheet2,74,urn:uuid:82250dfa-1952-4cbe-ac32-3b510d49503b,active,rdfs:subPropertyOf,cco:is_about,,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
91,Common OPs,sosa:relatedObservation,relation from an Execution or ExecutionCollection to an Observation or ObservationCollection,OK as-is,"sosa:relatedObservation rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] .
sosa:relatedObservation rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .","sosa:relatedObservation rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] .
sosa:relatedObservation rdfs:range [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .","sosa:relatedObservation is marked difficult because ""related"" covers shared occurrent parts or shared features of interest — a disjunctive condition not expressible as a single BFO or CCO subproperty without a union construction.",exact,sosa:relatedObservation,Sheet2,75,urn:uuid:80c37523-2be3-492c-b6df-b238bf958a79,explicitly_unmapped,,,,candidate for mapping analysis,,
92,Common OPs,sosa:resultQuality,relation from an Observation or ObservationCollection to some information pertaining to the quality of the result,Semantic redesign,"sosa:resultQuality rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] .
sosa:resultQuality rdfs:range cco:InformationContentEntity .
sosa:resultQuality rdfs:subPropertyOf cco:is_about .","sosa:resultQuality a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Observation sosa:ObservationCollection ) ] ; rdfs:range cco:ont00000958 ; rdfs:subPropertyOf cco:ont00001801 ; rdfs:comment ""Re-pointed to CCO is_subject_of (the inverse of is_about): the result-quality ICE is about the observation, so the observation is the subject of that ICE. The workbook's cco:is_about super inverted this and typed every Observation subject as an ICE (continuant), clashing with Observation as a process.""@en .",sosa:resultQuality maps to cco:is_about because the result quality description is an information content entity that is about the observation whose output quality it characterizes. It is the inverse direction of sosa:qualityOf.,exact,sosa:resultQuality,Sheet2,76,urn:uuid:47a4f062-e7eb-4eae-8f53-6945995d6ddc,active,rdfs:subPropertyOf,cco:is_about,,substantive reconciliation required,,
93,Common OPs,sosa:systemDeployment,relation from a System to a Deployment,Semantic redesign,sosa:systemDeployment owl:inverseOf sosa:deployedAsset .,"sosa:systemDeployment a owl:ObjectProperty ; owl:inverseOf sosa:deployedSystem ; rdfs:subPropertyOf sosa:hasDeployment ; rdfs:comment ""Inverse corrected from sosa:deployedAsset to sosa:deployedSystem (native). Asserting the deployedAsset inverse collapsed systemDeployment with hasDeployment and deployedSystem with deployedAsset, destroying the native strict sub-hierarchy.""@en .",sosa:systemDeployment is the inverse of sosa:deployedAsset.,exact,sosa:systemDeployment,Sheet2,77,urn:uuid:44a289a7-8f9a-409d-9b97-f1c2d2245c52,explicitly_unmapped,,,,substantive reconciliation required,,
94,Common OPs,sosa:usedForExecution,relation from a Procedure to an Execution or ExecutionCollection made using it,OK as-is,sosa:usedForExecution owl:inverseOf sosa:usedProcedure .,sosa:usedForExecution owl:inverseOf sosa:usedProcedure .,sosa:usedForExecution is the inverse of sosa:usedProcedure.,exact,sosa:usedForExecution,Sheet2,78,urn:uuid:2d13ab69-1389-4d45-8aa2-271deba052a7,explicitly_unmapped,,,,candidate for mapping analysis,,
95,Common OPs,sosa:usedForExecutionHasResult,relation from a Procedure to a Sample or SampleCollection made by it,OK as-is,sosa:usedForExecutionHasResult owl:propertyChainAxiom ( sosa:usedForExecution sosa:hasResult ) .,sosa:usedForExecutionHasResult owl:propertyChainAxiom ( sosa:usedForExecution sosa:hasResult ) .,sosa:usedForExecutionHasResult is defined via property chain: a procedure has this relation to a sample if there exists an execution using that procedure that has the sample as its result. This shortcut allows direct querying of procedure-to-sample relationships.,exact,sosa:usedForExecutionHasResult,Sheet2,79,urn:uuid:01443e30-96fd-431f-ad31-67619f80c12c,explicitly_unmapped,,,,candidate for mapping analysis,,
96,Common OPs,sosa:usedProcedure,relation from an Execution or ExecutionCollection to the Procedure used,Semantic redesign,"sosa:usedProcedure rdfs:domain sosa:Execution .
sosa:usedProcedure rdfs:range sosa:Procedure .
sosa:usedProcedure rdfs:subPropertyOf cco:prescribed_by .","sosa:usedProcedure a owl:ObjectProperty ; rdfs:domain [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] ; rdfs:range sosa:Procedure ; rdfs:subPropertyOf cco:ont00001920 ; rdfs:comment ""Domain widened to include ExecutionCollection (native schema:domainIncludes). Maps to CCO prescribed_by (the execution is prescribed by the procedure it used).""@en .",sosa:usedProcedure maps to cco:prescribed_by because using a procedure in an execution means the execution is carried out according to its prescriptions.,exact,sosa:usedProcedure,Sheet2,80,urn:uuid:adaab904-a46a-41a2-97dc-66c701d1a1fc,active,rdfs:subPropertyOf,cco:prescribed_by,,substantive reconciliation required,,
97,Common OPs,sosa:wasActedOnBy,relation from a Property to an Actuation that changed its state,OK as-is,sosa:wasActedOnBy owl:inverseOf sosa:actsOnProperty .,sosa:wasActedOnBy owl:inverseOf sosa:actsOnProperty .,sosa:wasActedOnBy is the inverse of sosa:actsOnProperty.,exact,sosa:wasActedOnBy,Sheet2,81,urn:uuid:f175888f-0793-4656-9ba0-60b446c40ed8,explicitly_unmapped,,,,candidate for mapping analysis,,
98,Common OPs,sosa:wasObservedBy,relation from a Property to an Observation that observed it,OK as-is,sosa:wasObservedBy owl:inverseOf sosa:observedProperty .,sosa:wasObservedBy owl:inverseOf sosa:observedProperty .,sosa:wasObservedBy is the inverse of sosa:observedProperty.,exact,sosa:wasObservedBy,Sheet2,82,urn:uuid:edf729c1-2c87-4b6b-82a2-ffecb4a95be3,explicitly_unmapped,,,,candidate for mapping analysis,,
99,Common OPs,sosa:wasOriginatedBy,relation from an Observation to the Stimulus that originated it,OK as-is,"sosa:wasOriginatedBy owl:inverseOf sosa:originated .
sosa:wasOriginatedBy rdfs:subPropertyOf cco:process_started_by .","sosa:wasOriginatedBy owl:inverseOf sosa:originated .
sosa:wasOriginatedBy rdfs:subPropertyOf cco:ont00001962 .",sosa:wasOriginatedBy is the inverse of sosa:originated. It also maps to cco:process_started_by because the stimulus causally initiates the observation process.,exact,sosa:wasOriginatedBy,Sheet2,83,urn:uuid:becca3d0-9aea-4f60-9cff-895add564144,active,rdfs:subPropertyOf,cco:process_started_by,,verify existing active mapping against external correction,already_represented,The current process_started_by mapping matches the external corrected row. Its coherence with the separately proposed redesign of sosa:originated must still be reviewed in the semantic-redesign set.
100,Common DPs,sosa:endTime,instant of time when the Execution or Deployment was ended or completed,OK as-is,subPropertyOf owl:topDataProperty,sosa:endTime rdfs:subPropertyOf owl:topDataProperty .,"endTime is modeled as a datatype property because it associates a literal temporal value with a process or deployment, not an entity. It parallels sosa:resultTime and sosa:startTime in being a temporal annotation on executions and deployments.",exact,sosa:endTime,Sheet2,8,urn:uuid:ce089ac3-c908-47b9-9480-adba020cad7f,deferred,,,Datatype-property mapping deferred pending repository-wide COMS support for datatype-property source terms. This capability must be implemented consistently for both the current SOSA mapping and the forthcoming SOSA mapping.,preserve datatype-property deferral pending repository-wide support,,
101,Common DPs,sosa:hasSimpleResult,relation from an Execution to its value expressed as a literal,OK as-is,subPropertyOf owl:topDataProperty,sosa:hasSimpleResult rdfs:subPropertyOf owl:topDataProperty .,"hasSimpleResult is modeled as a datatype property because it directly associates a literal value with an execution, providing a lightweight alternative to the full sosa:hasResult object property when the result can be expressed as a simple literal.",exact,sosa:hasSimpleResult,Sheet2,9,urn:uuid:af747b46-1967-4532-990f-02555c3d7a28,deferred,,,Datatype-property mapping deferred pending repository-wide COMS support for datatype-property source terms. This capability must be implemented consistently for both the current SOSA mapping and the forthcoming SOSA mapping.,preserve datatype-property deferral pending repository-wide support,,
102,Common DPs,sosa:resultTime,instant of time when the result of the Execution became available,OK as-is,subPropertyOf owl:topDataProperty,sosa:resultTime rdfs:subPropertyOf owl:topDataProperty .,"resultTime is modeled as a datatype property because it associates a literal temporal value with a process, not an entity. It is distinct from sosa:phenomenonTime, which denotes when the phenomenon pertains, rather than when the result was produced.",exact,sosa:resultTime,Sheet2,10,urn:uuid:26f5f739-2926-4f2c-b78b-35a28d56e7cc,deferred,,,Datatype-property mapping deferred pending repository-wide COMS support for datatype-property source terms. This capability must be implemented consistently for both the current SOSA mapping and the forthcoming SOSA mapping.,preserve datatype-property deferral pending repository-wide support,,
103,Common DPs,sosa:startTime,instant of time when the Execution or Deployment was initiated or tasked,OK as-is,subPropertyOf owl:topDataProperty,sosa:startTime rdfs:subPropertyOf owl:topDataProperty .,"startTime is modeled as a datatype property because it associates a literal temporal value with a process or deployment, not an entity. It parallels sosa:endTime and sosa:resultTime in being a temporal annotation on executions and deployments.",exact,sosa:startTime,Sheet2,11,urn:uuid:0dc53714-99d6-4219-95d4-fdeb832b6ea3,deferred,,,Datatype-property mapping deferred pending repository-wide COMS support for datatype-property source terms. This capability must be implemented consistently for both the current SOSA mapping and the forthcoming SOSA mapping.,preserve datatype-property deferral pending repository-wide support,,
104,System Capability,sosa:Battery,"A Battery powering a System as its primary or secondary power source. As this is a specialization of the System class, modeling of integrated battery management systems is also possible.",Syntactic repair,"sosa:Battery rdfs:subClassOf sosa:System .
sosa:Battery rdfs:subClassOf [ a owl:Restriction ;
  owl:onProperty bfo:bearer_of ;
  owl:someValuesFrom bfo:Function ] .","sosa:Battery a owl:Class ; rdfs:subClassOf sosa:System , [ a owl:Restriction ; owl:onProperty obo:BFO_0000196 ; owl:someValuesFrom obo:BFO_0000034 ] ; rdfs:comment ""Declared as an owl:Class (the pinned sosa-system.ttl omits the explicit rdf:type owl:Class, an upstream declaration gap). A System that bears a Function (obo:BFO_0000034) realised in energy-supply processes.""@en .","sosa:Battery is a subclass of sosa:System because a battery is a material entity that implements procedures by powering another system. It bears a bfo:Function realized in energy-supply processes, consistent with the BFO treatment of functional entities. It is not a subclass of sosa:Sensor or sosa:Actuator because it does not make observations or actuate properties; it enables other systems to do so.",exact,sosa:Battery,Sheet1,28,urn:uuid:2706ef81-3169-4ca8-9d38-8b683e9ebe01,active,rdfs:subClassOf,bfo:bearer_of some bfo:Function,,compare and adapt only after IRI/version verification,,
